employee_id,full_name,gender,age,email,phone_number,address,department,designation,reporting_manager,joining_date,employment_type,work_location,salary_band,skills,emergency_contact
E0011,Zayan Behl,Female,32,zayan.behl@fekutech.com,+916400524278,"H.No. 128, Pingle Nagar, Chinsurah-045053",AI & Machine Learning,Machine Learning Engineer,Alexander Chander,2022-10-23,Full-time,Bhubaneswar,8L-18L,"Python, LangChain, PostgreSQL, Hugging Face",Harshil Pandya
E0012,Mohammed Khalsa,Female,32,mohammed.khalsa@fekutech.com,+912602563421,"33, Palla Chowk, Ambattur-036541",AI & Machine Learning,Data Scientist,Alexander Chander,2026-01-10,Full-time,Remote,8L-18L,"SQL, Spark, OpenAI API",Indali Upadhyay
E0013,Garima Bala,Other,38,garima.bala@fekutech.com,+914294019655,"93, Basu Road, Mumbai-561595",AI & Machine Learning,MLOps Engineer,Alexander Chander,2025-08-06,Full-time,Bhubaneswar,8L-18L,"Airflow, LangGraph, Kafka, OpenAI API, PostgreSQL, PyTorch",Charita Tripathi
E0014,Nilima Narain,Male,28,nilima.narain@fekutech.com,04823662994,"H.No. 43, Nagy Marg, Mango-387214",Generative AI,GenAI Lead,Nilima Narain,2023-07-17,Full-time,Bhubaneswar,30L-45L,"PyTorch, SQL",Girik Keer
E0015,Umang Issac,Male,49,umang.issac@fekutech.com,+910037917693,"32, Chhabra Nagar, Muzaffarnagar-870831",Generative AI,GenAI Engineer,Nilima Narain,2022-08-01,Full-time,Bhubaneswar,8L-18L,"OpenAI API, Kafka, Spark, Airflow, LangGraph",Kiaan Shetty
E0016,Saanvi Thaman,Other,24,saanvi.thaman@fekutech.com,08727743487,"14, Magar Ganj, Imphal-223623",Generative AI,GenAI Engineer,Nilima Narain,2022-08-01,Full-time,Remote,8L-18L,"TensorFlow, LangGraph, OpenAI API, PyTorch",Oeshi Reddy
E0017,Unnati Sagar,Female,24,unnati.sagar@fekutech.com,+913669096705,"88, Kannan, Muzaffarnagar 670656",Generative AI,Prompt Engineer,Nilima Narain,2024-12-02,Contract,Bhubaneswar,8L-18L,"TensorFlow, SQL, LangGraph, Airflow, LangChain, PostgreSQL",Unni Datta
E0018,Meera Bala,Female,48,meera.bala@fekutech.com,+916272046537,"46, Bumb Road, Surat 531003",Data Engineering,Data Engineering Lead,Meera Bala,2025-06-29,Full-time,Bhubaneswar,30L-45L,"Java, Python, LangChain",Anmol Dua
E0019,Jonathan Solanki,Female,50,jonathan.solanki@fekutech.com,1937452991,"H.No. 904, Prashad, Davanagere-931491",Data Engineering,Data Engineer,Meera Bala,2024-09-03,Full-time,Bhubaneswar,8L-18L,"PyTorch, Kubernetes, Java",Idika Walia
E0020,Kamala Biswas,Male,48,kamala.biswas@fekutech.com,5067165726,"87/76, Loyal, Sambalpur-473799",Data Engineering,Data Engineer,Meera Bala,2023-05-31,Full-time,Bhubaneswar,8L-18L,"React, Hugging Face, Airflow",Gayathri Balakrishnan
E0021,Ekta Gopal,Other,43,ekta.gopal@fekutech.com,03545494808,"678, Soni Ganj, Sultan Pur Majra-143634",Backend Engineering,Backend Lead,Ekta Gopal,2024-01-10,Contract,Bhubaneswar,30L-45L,"Java, Spring Boot, Django, REST APIs",Urvashi Wali
E0022,Pavani Narayanan,Male,31,pavani.narayanan@fekutech.com,07444313518,"749, Mandal Circle, Jammu-352408",Backend Engineering,Python Backend Developer,Ekta Gopal,2025-02-19,Full-time,Bhubaneswar,8L-18L,"REST APIs, Django, FastAPI",Anusha Bath
E0023,Brinda Date,Male,46,brinda.date@fekutech.com,7109477752,"11, Swamy Marg, Gangtok 229413",Backend Engineering,Java Backend Developer,Ekta Gopal,2022-11-10,Full-time,Bhubaneswar,8L-18L,"Spring Boot, FastAPI",Omaja Kara
E0024,Shravya Savant,Other,31,shravya.savant@fekutech.com,09649909133,"328, Dugar Zila, Alappuzha 974034",MERN Development,MERN Lead,Shravya Savant,2024-11-01,Full-time,Bhubaneswar,30L-45L,"TypeScript, Next.js",Sudiksha Bobal
E0025,Aishani Hora,Male,49,aishani.hora@fekutech.com,01832421024,"H.No. 746, Tella Road, Bahraich 906594",MERN Development,MERN Stack Developer,Shravya Savant,2023-09-30,Full-time,Bhubaneswar,8L-18L,"Django, React",Gavin Karnik
E0026,Amruta Baria,Female,35,amruta.baria@fekutech.com,+917874296717,"H.No. 51, Narayan Street, Shimla 680715",MERN Development,Frontend React Developer,Shravya Savant,2024-01-09,Full-time,Bhubaneswar,8L-18L,"FastAPI, Java",Ekiya D’Alia
E0027,Yoshita Agarwal,Other,34,yoshita.agarwal@fekutech.com,8760385977,"H.No. 82, Sarma Road, Bhilai 932480",Cloud & DevOps,DevOps Lead,Yoshita Agarwal,2025-10-14,Full-time,Bhubaneswar,30L-45L,"Kubernetes, Azure, CI/CD, AWS, Terraform, Docker",Girik Kar
E0028,Triya Dalal,Male,26,triya.dalal@fekutech.com,2748467737,"982, Majumdar Zila, Mau-044997",Cloud & DevOps,DevOps Engineer,Yoshita Agarwal,2023-11-30,Full-time,Bhubaneswar,8L-18L,"CI/CD, Terraform",Sanya Yohannan
E0029,Hemani Natarajan,Male,26,hemani.natarajan@fekutech.com,8675339636,"76/627, Date Nagar, Salem 187026",Cloud & DevOps,Cloud Engineer,Yoshita Agarwal,2025-01-26,Full-time,Remote,8L-18L,"Azure, Kubernetes, AWS, Terraform, CI/CD",Falan Singh
E0030,Hamsini Rao,Male,36,hamsini.rao@fekutech.com,1586578091,"161, Sawhney Zila, Dewas-050455",QA,QA Lead,Hamsini Rao,2024-11-28,Contract,Remote,30L-45L,"Django, Docker, Kubernetes",Madhav Konda
E0031,Pranit Garde,Other,45,pranit.garde@fekutech.com,+911969379237,"H.No. 07, Dugar Road, Mango 946474",QA,QA Engineer,Hamsini Rao,2023-09-02,Full-time,Remote,8L-18L,"TensorFlow, Next.js, Kubernetes",Leena Subramanian
E0032,Warjas Raj,Other,25,warjas.raj@fekutech.com,5944064090,"953, Krishna Ganj, Jalandhar-470952",Sales & Marketing,Sales Manager,Warjas Raj,2024-08-21,Full-time,Remote,12L-20L,"TensorFlow, REST APIs, PyTorch",Chakrika Narain
E0033,Parth Iyer,Male,26,parth.iyer@fekutech.com,+918588424745,"H.No. 236, Pau Circle, Tenali 481754",Sales & Marketing,Business Development Executive,Warjas Raj,2023-01-23,Full-time,Bhubaneswar,4L-8L,"LangChain, Next.js, Spark",Kamya Chokshi
